x,y,M1970,M2015,Mean,,,
93.5,24.75,2302.375038,2181.990043,120.384995,,,
93.75,24.75,2060.051466,1953.320041,106.731425,,Min=,-13.885394
94,24.75,1972.090748,1875.195593,96.895155,,Q1=,29.835356
93,25,2862.460047,2703.92838,158.531667,,Median=,59.984522
93.25,25,2439.250755,2317.057819,122.192936,,Q3=,87.198296
93.5,25,2274.612181,2161.230039,113.382142,,Max=,184.774442
93.75,25,2109.973608,2005.40226,104.571348,,,
94,25,2022.948963,1925.887258,97.061705,,,
94.25,25,1935.924318,1846.372255,89.552063,,,
94.5,25,1902.914318,1825.334477,77.579841,,,
92.75,25.25,3271.030053,3086.255611,184.774442,,,
93,25.25,2802.416476,2654.855601,147.560875,,,
93.25,25.25,2333.802899,2223.455591,110.347308,,,
93.5,25.25,2246.849324,2140.470035,106.379289,,,
93.75,25.25,2159.89575,2057.484479,102.411271,,,
94,25.25,2073.807178,1976.578922,97.228256,,,
94.25,25.25,1987.718606,1895.673366,92.04524,,,
94.5,25.25,1942.842892,1863.852254,78.990638,,,
92.5,25.5,3498.226845,3321.427279,176.799566,,,
92.75,25.5,3001.133622,2851.073385,150.060237,,,
93,25.5,2668.672546,2541.712266,126.96028,,,
93.25,25.5,2336.21147,2232.351147,103.860323,,,
93.5,25.5,2237.702181,2137.770035,99.932146,,,
93.75,25.5,2139.192892,2043.188924,96.003968,,,
94,25.5,2069.825034,1976.718924,93.10611,,,
94.25,25.5,2000.457177,1910.248925,90.208252,,,
94.5,25.5,1950.480391,1870.1467,80.333691,,,
94.75,25.5,1900.503606,1830.044475,70.459131,,,
89.75,25.75,2485.447186,2455.802268,29.644918,,,
90,25.75,2669.58362,2627.16116,42.42246,,,
92.25,25.75,3502.365774,3366.864498,135.501276,,,
92.5,25.75,3116.801483,2991.377828,125.423655,,,
92.75,25.75,2731.237192,2615.891159,115.346033,,,
93,25.75,2534.928617,2428.568931,106.359686,,,
93.25,25.75,2338.620041,2241.246703,97.373338,,,
93.5,25.75,2228.555038,2135.070036,93.485002,,,
93.75,25.75,2118.490035,2028.893368,89.596667,,,
94,25.75,2065.842891,1976.858926,88.983965,,,
94.25,25.75,2013.195748,1924.824484,88.371264,,,
94.5,25.75,1958.117891,1876.441146,81.676745,,,
94.75,25.75,1903.040034,1828.057809,74.982225,,,
95,25.75,1880.566461,1810.873363,69.693098,,,
89.25,26,2497.477186,2491.064489,6.412697,,,
89.5,26,2536.68433,2522.350045,14.334285,,,
89.75,26,2575.891473,2553.6356,22.255873,,,
90,26,2660.535048,2627.800604,32.734444,,,
90.25,26,2745.178624,2701.965607,43.213017,,,
90.5,26,2846.475052,2793.450609,53.024443,,,
90.75,26,2947.77148,2884.935611,62.835869,,,
91,26,3063.931483,2991.826724,72.104759,,,
91.25,26,3180.091486,3098.717836,81.37365,,,
91.5,26,3206.491128,3130.539504,75.951624,,,
91.75,26,3232.890769,3162.361173,70.529596,,,
92,26,3093.003624,3008.432831,84.570793,,,
92.25,26,2953.116479,2854.50449,98.611989,,,
92.5,26,2737.610404,2640.446711,97.163693,,,
92.75,26,2522.104329,2426.388933,95.715396,,,
93,26,2403.980041,2312.192263,91.787778,,,
93.25,26,2285.855753,2197.995592,87.860161,,,
93.5,26,2214.021822,2126.61448,87.407342,,,
93.75,26,2142.187892,2055.233368,86.954524,,,
94,26,2103.694677,2015.668924,88.025753,,,
94.25,26,2065.201462,1976.10448,89.096982,,,
94.5,26,2010.983246,1926.132256,84.85099,,,
94.75,26,1956.765031,1876.160032,80.604999,,,
95,26,1897.554317,1823.627254,73.927063,,,
89,26.25,2634.785754,2618.363378,16.422376,,,
89.25,26.25,2712.672902,2700.048937,12.623965,,,
89.5,26.25,2689.504331,2675.758934,13.745397,,,
89.75,26.25,2666.335759,2651.468932,14.866827,,,
90,26.25,2651.486477,2628.440048,23.046429,,,
90.25,26.25,2636.637194,2605.411163,31.226031,,,
90.5,26.25,2630.827905,2595.228939,35.598966,,,
90.75,26.25,2625.018617,2585.046715,39.971902,,,
91,26.25,2562.355046,2524.391159,37.963887,,,
91.25,26.25,2499.691476,2463.735603,35.955873,,,
91.5,26.25,2438.122186,2401.1856,36.936586,,,
91.75,26.25,2376.552897,2338.635596,37.917301,,,
92,26.25,2390.21004,2340.390039,49.820001,,,
92.25,26.25,2403.867184,2342.144482,61.722702,,,
92.5,26.25,2358.419325,2289.515594,68.903731,,,
92.75,26.25,2312.971466,2236.886707,76.084759,,,
93,26.25,2273.031465,2195.815594,77.215871,,,
93.25,26.25,2233.091464,2154.744482,78.346982,,,
93.5,26.25,2199.488607,2118.158924,81.329683,,,
93.75,26.25,2165.88575,2081.573367,84.312383,,,
94,26.25,2141.546463,2054.478922,87.067541,,,
94.25,26.25,2117.207175,2027.384477,89.822698,,,
94.5,26.25,2063.848602,1975.823366,88.025236,,,
94.75,26.25,2010.490028,1924.262255,86.227773,,,
95,26.25,1914.542173,1836.381144,78.161029,,,
88.75,26.5,2591.183611,2570.013375,21.170236,,,
89,26.5,2649.612542,2636.908377,12.704165,,,
89.25,26.5,2708.041473,2703.803378,4.238095,,,
89.5,26.5,2691.655046,2685.820047,5.834999,,,
89.75,26.5,2675.268619,2667.836716,7.431903,,,
90,26.5,2645.028619,2635.570604,9.458015,,,
90.25,26.5,2614.788619,2603.304492,11.484127,,,
90.5,26.5,2603.836118,2585.027827,18.808291,,,
90.75,26.5,2592.883618,2566.751162,26.132456,,,
91,26.5,2530.913617,2504.666713,26.246904,,,
91.25,26.5,2468.943616,2442.582265,26.361351,,,
91.5,26.5,2414.872184,2386.822819,28.049365,,,
91.75,26.5,2360.800752,2331.063373,29.737379,,,
92,26.5,2329.303967,2290.988927,38.31504,,,
92.25,26.5,2297.807182,2250.91448,46.892702,,,
92.5,26.5,2255.687538,2202.248926,53.438612,,,
92.75,26.5,2213.567895,2153.583373,59.984522,,,
93,26.5,2196.471464,2132.282816,64.188648,,,
93.25,26.5,2179.375034,2110.982259,68.392775,,,
93.5,26.5,2170.486821,2097.105592,73.381229,,,
93.75,26.5,2161.598607,2083.228925,78.369682,,,
94,26.5,2163.435036,2079.962257,83.472779,,,
94.25,26.5,2165.271465,2076.69559,88.575875,,,
94.5,26.5,2136.100748,2045.551702,90.549046,,,
94.75,26.5,2106.930032,2014.407814,92.522218,,,
95,26.5,1971.93396,1887.206145,84.727815,,,
95.25,26.5,1836.937888,1760.004476,76.933412,,,
88.25,26.75,2366.848609,2320.802262,46.046347,,,
88.5,26.75,2496.158613,2462.075596,34.083017,,,
88.75,26.75,2625.468617,2603.34893,22.119687,,,
89,26.75,2664.43933,2655.453375,8.985955,,,
89.25,26.75,2703.410043,2707.55782,-4.147777,,,
89.5,26.75,2693.80576,2695.88116,-2.0754,,,
89.75,26.75,2684.201478,2684.2045,-0.003022,,,
90,26.75,2638.570761,2642.701161,-4.1304,,,
90.25,26.75,2592.940044,2601.197822,-8.257778,,,
90.5,26.75,2576.844331,2574.826715,2.017616,,,
90.75,26.75,2560.748619,2548.455608,12.293011,,,
91,26.75,2499.472187,2484.942268,14.529919,,,
91.25,26.75,2438.195756,2421.428928,16.766828,,,
91.5,26.75,2391.622182,2372.460039,19.162143,,,
91.75,26.75,2345.048608,2323.49115,21.557458,,,
92,26.75,2268.397894,2241.587814,26.81008,,,
92.25,26.75,2191.74718,2159.684478,32.062702,,,
92.5,26.75,2152.955751,2114.982258,37.973493,,,
92.75,26.75,2114.164323,2070.280039,43.884284,,,
93,26.75,2119.911464,2068.750038,51.161426,,,
93.25,26.75,2125.658604,2067.220037,58.438567,,,
93.5,26.75,2141.485035,2076.052259,65.432776,,,
93.75,26.75,2157.311465,2084.884482,72.426983,,,
94,26.75,2185.323609,2105.445593,79.878016,,,
94.25,26.75,2213.335754,2126.006703,87.329051,,,
94.5,26.75,2208.352895,2115.280037,93.072858,,,
94.75,26.75,2203.370036,2104.553372,98.816664,,,
95,26.75,2029.325747,1938.031145,91.294602,,,
95.25,26.75,1855.281458,1771.508919,83.772539,,,
95.5,26.75,1839.087172,1757.357807,81.729365,,,
88,27,2199.426466,2145.575037,53.851429,,,
88.25,27,2246.337896,2205.342261,40.995635,,,
88.5,27,2336.070398,2303.521705,32.548693,,,
88.75,27,2425.8029,2401.70115,24.10175,,,
89,27,2381.431827,2367.723372,13.708455,,,
92,27,2134.695034,2117.888924,16.80611,,,
92.25,27,2051.700747,2029.828921,21.871826,,,
92.5,27,2061.112177,2033.592256,27.519921,,,
92.75,27,2070.523607,2037.35559,33.168017,,,
93,27,2059.122535,2017.492256,41.630279,,,
93.25,27,2047.721463,1997.628922,50.092541,,,
93.5,27,2068.780749,2010.532256,58.248493,,,
93.75,27,2089.840036,2023.43559,66.404446,,,
94,27,2144.165037,2068.055036,76.110001,,,
94.25,27,2198.490038,2112.674481,85.815557,,,
94.5,27,2213.476466,2119.817815,93.658651,,,
94.75,27,2228.462893,2126.961149,101.501744,,,
95,27,2122.53682,2022.426702,100.110118,,,
95.25,27,2016.610747,1917.892255,98.718492,,,
95.5,27,1968.739319,1875.304476,93.434843,,,
95.75,27,1920.867891,1832.716697,88.151194,,,
96,27,1919.87789,1831.352808,88.525082,,,
88,27.25,2172.123612,2121.573372,50.55024,,,
88.25,27.25,2125.827183,2089.88226,35.944923,,,
88.5,27.25,2175.982183,2144.967814,31.014369,,,
88.75,27.25,2226.137183,2200.053369,26.083814,,,
92,27.25,2000.992174,1994.190033,6.802141,,,
92.25,27.25,1911.654314,1899.973365,11.680949,,,
92.5,27.25,1969.268602,1952.202253,17.066349,,,
92.75,27.25,2026.88289,2004.431142,22.451748,,,
93,27.25,1998.333606,1966.234475,32.099131,,,
93.25,27.25,1969.784321,1928.037808,41.746513,,,
93.5,27.25,1996.076463,1945.012253,51.06421,,,
93.75,27.25,2022.368606,1961.986698,60.381908,,,
94,27.25,2103.006465,2030.664479,72.341986,,,
94.25,27.25,2183.644323,2099.34226,84.302063,,,
94.5,27.25,2218.600037,2124.355593,94.244444,,,
94.75,27.25,2253.555751,2149.368926,104.186825,,,
95,27.25,2215.747893,2106.822258,108.925635,,,
95.25,27.25,2177.940035,2064.275591,113.664444,,,
95.5,27.25,2098.391466,1993.251145,105.140321,,,
95.75,27.25,2018.842896,1922.226698,96.616198,,,
96,27.25,1957.31718,1862.791142,94.526038,,,
96.25,27.25,1895.791464,1803.355586,92.435878,,,
96.5,27.25,1749.09289,1665.234473,83.858417,,,
96.75,27.25,1602.394315,1527.113361,75.280954,,,
97,27.25,1582.263601,1511.236692,71.026909,,,
88,27.5,1697.042889,1662.308918,34.733971,,,
88.25,27.5,1645.240745,1619.47225,25.768495,,,
88.5,27.5,1715.069674,1693.765584,21.30409,,,
88.75,27.5,1784.898603,1768.058917,16.839686,,,
91.75,27.5,1828.097888,1834.078919,-5.981031,,,
92,27.5,1713.822528,1713.75336,0.069168,,,
92.25,27.5,1599.547169,1593.427802,6.119367,,,
92.5,27.5,1684.533241,1674.532248,10.000993,,,
92.75,27.5,1769.519314,1755.636694,13.88262,,,
93,27.5,1808.932173,1785.526139,23.406034,,,
93.25,27.5,1848.345032,1815.415585,32.929447,,,
93.5,27.5,1892.581818,1849.406697,43.175121,,,
93.75,27.5,1936.818605,1883.397809,53.420796,,,
94,27.5,1993.18182,1927.945587,65.236233,,,
94.25,27.5,2049.545035,1972.493366,77.051669,,,
94.5,27.5,2099.056107,2011.427812,87.628295,,,
94.75,27.5,2148.567179,2050.362259,98.20492,,,
95,27.5,2138.85325,2035.31948,103.53377,,,
95.25,27.5,2129.139321,2020.276701,108.86262,,,
95.5,27.5,2064.268964,1960.383923,103.885041,,,
95.75,27.5,1999.398607,1900.491145,98.907462,,,
96,27.5,1929.401463,1833.380587,96.020876,,,
96.25,27.5,1859.40432,1766.270028,93.134292,,,
96.5,27.5,1639.921458,1557.906693,82.014765,,,
96.75,27.5,1420.438597,1349.543357,70.89524,,,
97,27.5,1451.501456,1382.163913,69.337543,,,
88.25,27.75,1164.654307,1149.06224,15.592067,,,
88.5,27.75,1254.157165,1242.563353,11.593812,,,
88.75,27.75,1343.660022,1336.064466,7.595556,,,
91.75,27.75,1565.865742,1579.751136,-13.885394,,,
92,27.75,1426.652882,1433.316687,-6.663805,,,
92.25,27.75,1287.440023,1286.882239,0.557784,,,
92.5,27.75,1399.79788,1396.862242,2.935638,,,
92.75,27.75,1512.155737,1506.842245,5.313492,,,
93,27.75,1619.53074,1604.817804,14.712936,,,
93.25,27.75,1726.905743,1702.793362,24.112381,,,
93.5,27.75,1789.087173,1753.801142,35.286031,,,
93.75,27.75,1851.268603,1804.808921,46.459682,,,
94,27.75,1883.357175,1825.226696,58.130479,,,
94.25,27.75,1915.445747,1845.644471,69.801276,,,
94.5,27.75,1979.512177,1898.500031,81.012146,,,
94.75,27.75,2043.578606,1951.355591,92.223015,,,
95,27.75,2061.958606,1963.816702,98.141904,,,
95.25,27.75,2080.338606,1976.277812,104.060794,,,
95.5,27.75,2030.146462,1927.516702,102.62976,,,
95.75,27.75,1979.954318,1878.755592,101.198726,,,
96,27.75,1901.485746,1803.970031,97.515715,,,
96.25,27.75,1823.017175,1729.18447,93.832705,,,
96.5,27.75,1530.750027,1450.578912,80.171115,,,
96.75,27.75,1238.482878,1171.973354,66.509524,,,
97,27.75,1320.73931,1253.091134,67.648176,,,
97.25,27.75,1402.995741,1334.208914,68.786827,,,
88.25,28,1153.142163,1145.31113,7.831033,,,
88.5,28,1184.189306,1177.528352,6.660954,,,
88.75,28,1215.236449,1209.745575,5.490874,,,
92.75,28,1231.126449,1227.085575,4.040874,,,
93,28,1368.166094,1357.466688,10.699406,,,
93.25,28,1505.205739,1487.847802,17.357937,,,
93.5,28,1568.755027,1540.977804,27.777223,,,
93.75,28,1632.304315,1594.107807,38.196508,,,
94,28,1672.170386,1623.125584,49.044802,,,
94.25,28,1712.036457,1652.143362,59.893095,,,
94.5,28,1801.614674,1731.158364,70.45631,,,
94.75,28,1891.192892,1810.173366,81.019526,,,
95,28,1872.671105,1788.146698,84.524407,,,
95.25,28,1854.149318,1766.12003,88.029288,,,
95.5,28,1833.577531,1743.433919,90.143612,,,
95.75,28,1813.005744,1720.747809,92.257935,,,
96,28,1693.666814,1606.265582,87.401232,,,
96.25,28,1574.327884,1491.783355,82.544529,,,
96.5,28,1376.239667,1302.721131,73.518536,,,
96.75,28,1178.15145,1113.658908,64.492542,,,
97,28,1180.961807,1118.182242,62.779565,,,
97.25,28,1183.772165,1122.705576,61.066589,,,
92.75,28.25,950.0971602,947.3289046,2.7682556,,,
93,28.25,1116.801448,1110.115573,6.685875,,,
93.25,28.25,1283.505735,1272.902241,10.603494,,,
93.5,28.25,1348.422881,1328.154467,20.268414,,,
93.75,28.25,1413.340026,1383.406693,29.933333,,,
94,28.25,1460.983597,1421.024472,39.959125,,,
94.25,28.25,1508.627168,1458.642252,49.984916,,,
94.5,28.25,1623.717172,1563.816696,59.900476,,,
94.75,28.25,1738.807177,1668.99114,69.816037,,,
95,28.25,1683.383604,1612.476694,70.90691,,,
95.25,28.25,1627.960031,1555.962248,71.997783,,,
95.5,28.25,1637.008601,1559.351137,77.657464,,,
95.75,28.25,1646.057171,1562.740025,83.317146,,,
96,28.25,1485.847882,1408.561132,77.28675,,,
96.25,28.25,1325.638593,1254.38224,71.256353,,,
96.5,28.25,1221.729307,1154.863351,66.865956,,,
96.75,28.25,1117.820021,1055.344462,62.475559,,,
97,28.25,1041.184305,983.2733496,57.9109554,,,
97.25,28.25,964.5485885,911.2022371,53.3463514,,,
93.25,28.5,1057.586446,1046.870016,10.71643,,,
93.5,28.5,1108.210377,1090.360574,17.849803,,,
93.75,28.5,1158.834307,1133.851132,24.983175,,,
94,28.5,1216.094307,1183.987799,32.106508,,,
94.25,28.5,1273.354308,1234.124467,39.229841,,,
94.5,28.5,1424.350741,1375.511691,48.83905,,,
94.75,28.5,1575.347174,1516.898914,58.44826,,,
95,28.5,1496.238956,1435.486135,60.752821,,,
95.25,28.5,1417.130739,1354.073356,63.057383,,,
95.5,28.5,1414.16181,1346.623355,67.538455,,,
95.75,28.5,1411.192881,1339.173354,72.019527,,,
96,28.5,1287.448593,1220.193908,67.254685,,,
96.25,28.5,1163.704306,1101.214461,62.489845,,,
96.5,28.5,1084.635733,1024.719461,59.916272,,,
96.75,28.5,1005.567161,948.2244601,57.3427009,,,
93.75,28.75,904.3285874,884.2955704,20.033017,,,
94,28.75,971.2050179,946.9511268,24.2538911,,,
94.25,28.75,1038.081448,1009.606683,28.474765,,,
94.5,28.75,1224.984309,1187.206686,37.777623,,,
94.75,28.75,1411.88717,1364.806688,47.080482,,,
95,28.75,1309.094309,1258.495576,50.598733,,,
95.25,28.75,1206.301447,1152.184464,54.116983,,,
95.5,28.75,1191.315019,1133.895574,57.419445,,,
95.75,28.75,1176.328592,1115.606684,60.721908,,,
96,28.75,1089.049305,1031.826683,57.222622,,,
96.25,28.75,1001.770018,948.0466825,53.7233355,,,
96.5,28.75,947.5421596,894.5755704,52.9665892,,,
94.25,29,920.2893025,895.7722363,24.5170662,,,
94.5,29,1020.376448,988.035571,32.340877,,,
94.75,29,1120.463592,1080.298906,40.164686,,,
95,29,1112.492877,1068.583907,43.90897,,,
95.25,29,1104.522162,1056.868907,47.653255,,,
95.5,29,1075.433947,1025.283351,50.150596,,,
95.75,29,1046.345732,993.697794,52.647938,,,
96,29,968.3314455,917.4227933,50.9086522,,,
96.25,29,890.3171591,841.1477925,49.1693666,,,
96.5,29,855.4750154,806.90168,48.5733354,,,
94.5,29.25,815.7685857,788.8644565,26.9041292,,,
94.75,29.25,829.0400147,795.7911234,33.2488913,,,
95,29.25,915.8914456,878.6722369,37.2192087,,,
95.25,29.25,1002.742876,961.5533504,41.1895256,,,
95.5,29.25,959.5528741,916.6711275,42.8817466,,,
95.75,29.25,916.3628718,871.7889046,44.5739672,,,
96,29.25,847.6135861,803.0189035,44.5946826,,,
96.25,29.25,778.8643004,734.2489024,44.615398,,,
96.5,29.25,763.4078713,719.2277896,44.1800817,,,
96,29.5,764.0360843,724.1233465,39.9127378,,,
